职位名称,城市,min_salary,max_salary,avg_salary,经验要求,学历要求,技能标签
数据分析师助理,贵阳·观山湖区,7.0,14.0,10.5,无需经验,大专,
python开发工程师,广州·天河区,7.0,13.0,10.0,1-3年,大专,
量化投资团队 Python开发工程师,北京·西城区,10.0,20.0,15.0,1年及以上,本科,
数据分析实习生（双休）,东莞·松山湖区,65.0,9.5,37.25,无需经验,大专,
初级数据分析师（十五薪）,武汉·洪山区,40.0,7.0,23.5,无需经验,大专,
python开发实习生,北京·西城区,200.0,200.0,200.0,在校生/应届生,本科,
python工程师 不加班,成都·锦江区,6.0,12.0,9.0,无需经验,大专,
python开发工程师,深圳·南山区,10.0,15.0,12.5,1年及以上,大专,
大数据分析师（周末双休）急招,北京·海淀区,8.0,16.0,12.0,1年及以上,,
Python全栈工程师,深圳·罗湖区,8.0,15.0,11.5,1年及以上,本科,
java初级程序员,北京,12.0,15.0,13.5,1年及以上,中技/中专,
Java实习,武汉·洪山区,40.0,6.0,23.0,无需经验,大专,
数据分析师,无锡,7.5,12.0,9.75,无需经验,大专,
python全栈开发工程师,深圳·罗湖区,8.0,14.0,11.0,1年及以上,本科,
双休java/python技术岗,成都·锦江区,8.0,14.0,11.0,无需经验,大专,
数据分析员（双休）,长沙·芙蓉区,60.0,9.5,34.75,无需经验,大专,
运营中心-证券部-RPA研发实习生G00794,上海,3.0,3.0,3.0,在校生/应届生,本科,
软件开发工程师（java/python）,南京·江宁区,60.0,8.0,34.0,1年及以上,大专,
大数据开发工程师/双休/五险一金/急招,重庆,8.0,14.0,11.0,1年及以上,本科,
双休python软件测试,成都·锦江区,7.0,13.0,10.0,无需经验,大专,
数据仓库工程师（电子商务）,沈阳·大东区,9.0,15.0,12.0,无需经验,,
数据库管理员助理,深圳·福田区,8.0,12.0,10.0,1年及以上,大专,
数据分析师,成都·锦江区,6.0,10.0,8.0,1年及以上,大专,
python开发工程师,成都·锦江区,7.0,10.0,8.5,无需经验,本科,
java,广州,10.0,15.0,12.5,无需经验,,
数据挖掘,上海,8.0,12.0,10.0,无需经验,,
数据挖掘,武汉,8.0,12.0,10.0,无需经验,,
软件工程师,广州·荔湾区,15.0,20.0,17.5,无需经验,,
数据挖掘,成都,8.0,12.0,10.0,无需经验,,
python开发+实施,上海·浦东新区,10.0,15.0,12.5,1年及以上,本科,
java,深圳,10.0,15.0,12.5,无需经验,,
6000数据库管理员（有吃住）,深圳·龙岗区,60.0,8.0,34.0,无需经验,大专,
Python开发（双休五险一金）,广州·番禺区,10.0,12.0,11.0,1年及以上,本科,
数据挖掘,广州,8.0,12.0,10.0,无需经验,,
软件实习生（J10393）,上海·闵行区,170.0,170.0,170.0,在校生/应届生,本科,
数据库MySQL运营维护,西安·莲湖区,8.0,12.0,10.0,1年及以上,,
软件工程师,广州·海珠区,10.0,20.0,15.0,无需经验,,
数据库管理员（MySQL基础运维）,成都·成华区,8.0,12.0,10.0,1年及以上,,
python开发工程师,长沙·长沙县,12.0,20.0,16.0,无需经验,大专,
Python老师（入职买社保）,兰州,7.0,12.0,9.5,1年及以上,大专,
数据分析专员苏州,苏州,7.0,12.0,9.5,无需经验,大专,
数据挖掘,武汉,10.0,15.0,12.5,无需经验,,
数据挖掘,深圳,8.0,12.0,10.0,无需经验,,
数据挖掘,北京,8.0,12.0,10.0,无需经验,,
数据库管理员（MySQL基础运维）,广州·海珠区,10.0,12.0,11.0,1年及以上,,
数据库管理员（MySQL基础运维）,深圳·南山区,8.0,12.0,10.0,1年及以上,,
数据分析师,成都·青羊区,8.0,15.0,11.5,无需经验,,
java开发工程师,昆明·盘龙区,6.0,12.0,9.0,无需经验,本科,
数据挖掘,广州,10.0,15.0,12.5,无需经验,,
数据挖掘,北京,10.0,15.0,12.5,无需经验,,
python工程师,西安·未央区,7.0,11.0,9.0,无需经验,本科,
数据挖掘,杭州,10.0,15.0,12.5,无需经验,,
deepseek人工智能审核,深圳·南山区,60.0,8.0,34.0,1年及以上,大专,
ICT程序实习生(J10116),苏州·相城区,40.0,6.0,23.0,无需经验,本科,
数据处理工程师（双休）,杭州·拱墅区,9.0,12.0,10.5,1年及以上,大专,
python工程师,武汉·江汉区,7.0,11.0,9.0,无需经验,本科,
Python开发工程师,无锡·滨湖区,8.0,12.0,10.0,1-3年,大专,
数据库管理员（MySQL基础运维）,杭州·萧山区,8.0,12.0,10.0,1年及以上,,
java开发工程师,昆明·晋宁区,50.0,8.0,29.0,无需经验,大专,
数据挖掘工程师(J10799),北京,8.0,16.0,12.0,无需经验,本科,
java开发实习生,郑州·金水区,60.0,8.0,34.0,无需经验,,
数据挖掘,成都,10.0,15.0,12.5,无需经验,,
数据挖掘,长沙,10.0,15.0,12.5,无需经验,,
数据标注实习生 I Data Annotation Intern(J16806),合肥·高新区,190.0,190.0,190.0,在校生/应届生,本科,
AI软件开发与测试实习生,深圳·龙华区,8.0,11.0,9.5,无需经验,大专,
java,上海·嘉定区,10.0,12.0,11.0,无需经验,本科,
杭州数据分析,杭州,10.0,15.0,12.5,1年,大专,
python工程师,成都·锦江区,6.0,12.0,9.0,无需经验,大专,
Python 开发工程师,西安·雁塔区,8.0,13.0,10.5,无需经验,大专,
数据分析师,厦门·思明区,8.0,13.0,10.5,1年及以上,大专,
python开发工程师,广州·天河区,12.0,20.0,16.0,1-3年,本科,
MySQL基础运维,深圳·坪山区,8.0,12.0,10.0,1年及以上,,
Python 开发工程师,重庆·渝北区,8.0,13.0,10.5,无需经验,大专,
python开发工程师,上海·杨浦区,8.0,12.0,10.0,无需经验,本科,
Trade Operation Specialist-Python,上海·浦东新区,8.0,16.0,12.0,无需经验,,
数据挖掘,上海,10.0,15.0,12.5,无需经验,,
Java工程师,深圳·宝安区,7.0,10.0,8.5,1年及以上,大专,
Embedded Machine Learning Engineer,北京,21.0,23.0,22.0,在校生/应届生,本科,
Python 软件测试  双休,成都·锦江区,6.0,12.0,9.0,无需经验,大专,
Java Intern,广州·海珠区,180.0,180.0,180.0,在校生/应届生,本科,
python工程师,苏州·虎丘区,7.0,11.0,9.0,无需经验,本科,
Python测试工程师,上海·浦东新区,10.0,18.0,14.0,1-6年,本科,
Java初级工程师(22-24届优先),深圳·福田区,8.0,12.0,10.0,1年及以上,本科,
大数据etl工程师实习生,深圳·宝安区,6.0,11.0,8.5,无需经验,大专,
python工程师,合肥·包河区,7.0,11.0,9.0,无需经验,本科,
数据分析师,成都·锦江区,8.0,12.0,10.0,1年及以上,大专,
初级数据分析师,上海·静安区,8.0,13.0,10.5,无需经验,本科,
数据分析师,武汉·洪山区,9.0,12.0,10.5,1年及以上,大专,
Python 开发工程师,深圳·福田区,8.0,13.0,10.5,无需经验,大专,
