jobId,jobTitle,jobArea,jobSalary,jobYear,jobDegree,companyId,jobLabel
162337334,数据分析师助理,贵阳·观山湖区,7千-1.4万·13薪,无需经验,大专,9074096,
166382160,python开发工程师,广州·天河区,7千-1.3万,1-3年,大专,9807797,
166465586,量化投资团队 Python开发工程师,北京·西城区,1-2万,1年及以上,本科,3909694,
164366078,数据分析实习生（双休）,东莞·松山湖区,6.5-9.5千,无需经验,大专,7688108,
165421277,初级数据分析师（十五薪）,武汉·洪山区,4-7千·15薪,无需经验,大专,9600460,
163293042,python开发实习生,北京·西城区,200元/天,在校生/应届生,本科,3909694,
166159594,python工程师 不加班,成都·锦江区,6千-1.2万,无需经验,大专,9592628,
166330504,python开发工程师,深圳·南山区,1-1.5万,1年及以上,大专,9748700,
166450184,大数据分析师（周末双休）急招,北京·海淀区,8千-1.6万,1年及以上,,9755486,
166319113,Python全栈工程师,深圳·罗湖区,8千-1.5万,1年及以上,本科,9739294,
166468672,java初级程序员,北京,1.2-1.5万·13薪,1年及以上,中技/中专,9810965,
159104386,Java实习,武汉·洪山区,4-6千·13薪,无需经验,大专,7333020,
166467598,数据分析师,无锡,7.5千-1.2万,无需经验,大专,9817941,
165950573,python全栈开发工程师,深圳·罗湖区,8千-1.4万,1年及以上,本科,9739294,
166358155,双休java/python技术岗,成都·锦江区,8千-1.4万,无需经验,大专,8947166,
164365295,数据分析员（双休）,长沙·芙蓉区,6-9.5千,无需经验,大专,7688108,
137869831,运营中心-证券部-RPA研发实习生G00794,上海,3千及以下,在校生/应届生,本科,253964,
166438575,软件开发工程师（java/python）,南京·江宁区,6-8千,1年及以上,大专,5506966,
166452498,大数据开发工程师/双休/五险一金/急招,重庆,8千-1.4万,1年及以上,本科,9816223,
166460390,双休python软件测试,成都·锦江区,7千-1.3万,无需经验,大专,8947166,
166462195,数据仓库工程师（电子商务）,沈阳·大东区,9千-1.5万·13薪,无需经验,,9802407,
166449998,数据库管理员助理,深圳·福田区,8千-1.2万,1年及以上,大专,9817296,
166426059,数据分析师,成都·锦江区,6千-1万·13薪,1年及以上,大专,9795687,
164315528,python开发工程师,成都·锦江区,7千-1万,无需经验,本科,8947166,
166449954,java,广州,1-1.5万,无需经验,,9815816,
166450243,数据挖掘,上海,8千-1.2万,无需经验,,9785515,
166455528,数据挖掘,武汉,8千-1.2万,无需经验,,9816276,
166460587,软件工程师,广州·荔湾区,1.5-2万·13薪,无需经验,,9796240,
166454338,数据挖掘,成都,8千-1.2万,无需经验,,9814690,
165481653,python开发+实施,上海·浦东新区,1-1.5万·13薪,1年及以上,本科,4066638,
166449868,java,深圳,1-1.5万,无需经验,,9815698,
164154498,6000数据库管理员（有吃住）,深圳·龙岗区,6-8千,无需经验,大专,8532766,
166416422,Python开发（双休五险一金）,广州·番禺区,1-1.2万,1年及以上,本科,4866111,
166450334,数据挖掘,广州,8千-1.2万,无需经验,,9785243,
159803703,软件实习生（J10393）,上海·闵行区,170元/天,在校生/应届生,本科,9189570,
166449810,数据库MySQL运营维护,西安·莲湖区,8千-1.2万,1年及以上,,9792317,
166459786,软件工程师,广州·海珠区,1-2万·13薪,无需经验,,9794162,
166450160,数据库管理员（MySQL基础运维）,成都·成华区,8千-1.2万,1年及以上,,9789892,
166394053,python开发工程师,长沙·长沙县,1.2-2万,无需经验,大专,3454349,
161853771,Python老师（入职买社保）,兰州,7千-1.2万,1年及以上,大专,7046572,
165055040,数据分析专员苏州,苏州,7千-1.2万·13薪,无需经验,大专,9321640,
166453179,数据挖掘,武汉,1-1.5万,无需经验,,9808184,
166450084,数据挖掘,深圳,8千-1.2万,无需经验,,9762162,
166450174,数据挖掘,北京,8千-1.2万,无需经验,,9780862,
166450344,数据库管理员（MySQL基础运维）,广州·海珠区,1-1.2万,1年及以上,,9790216,
166450575,数据库管理员（MySQL基础运维）,深圳·南山区,8千-1.2万,1年及以上,,9786126,
162901679,数据分析师,成都·青羊区,8千-1.5万,无需经验,,9135577,
166321383,java开发工程师,昆明·盘龙区,6千-1.2万,无需经验,本科,2442047,
166450882,数据挖掘,广州,1-1.5万,无需经验,,9803097,
166451094,数据挖掘,北京,1-1.5万,无需经验,,9802949,
164916016,python工程师,西安·未央区,7千-1.1万,无需经验,本科,9552039,
166450162,数据挖掘,杭州,1-1.5万,无需经验,,9816391,
166325269,deepseek人工智能审核,深圳·南山区,6-8千,1年及以上,大专,9796437,
166463758,ICT程序实习生(J10116),苏州·相城区,4-6千,无需经验,本科,2911665,
164465776,数据处理工程师（双休）,杭州·拱墅区,9千-1.2万·13薪,1年及以上,大专,9513039,
164916019,python工程师,武汉·江汉区,7千-1.1万,无需经验,本科,9552039,
126798074,Python开发工程师,无锡·滨湖区,8千-1.2万,1-3年,大专,5136579,
166449750,数据库管理员（MySQL基础运维）,杭州·萧山区,8千-1.2万,1年及以上,,9792136,
166354939,java开发工程师,昆明·晋宁区,5-8千·13薪,无需经验,大专,6923428,
164114109,数据挖掘工程师(J10799),北京,8千-1.6万·13薪,无需经验,本科,2174790,
157589635,java开发实习生,郑州·金水区,6-8千·13薪,无需经验,,9004380,
166450031,数据挖掘,成都,1-1.5万,无需经验,,9815752,
166452382,数据挖掘,长沙,1-1.5万,无需经验,,9808163,
166403881,python开发工程师,,1.3-1.8万·13薪,无需经验,,9665981,
165176068,数据标注实习生 I Data Annotation Intern(J16806),合肥·高新区,190元/天,在校生/应届生,本科,4194496,
164042392,AI软件开发与测试实习生,深圳·龙华区,8千-1.1万,无需经验,大专,7451831,
166453174,java,上海·嘉定区,1-1.2万,无需经验,本科,9816728,
166403876,python开发工程师,,1.3-1.8万·13薪,无需经验,,9665981,
165210216,杭州数据分析,杭州,1-1.5万,1年,大专,9320655,
166255775,python工程师,成都·锦江区,6千-1.2万,无需经验,大专,9592628,
160817225,Python 开发工程师,西安·雁塔区,8千-1.3万,无需经验,大专,9230420,
166403878,python开发工程师,,1.3-1.8万·13薪,无需经验,,9665981,
166445246,数据分析师,厦门·思明区,8千-1.3万·13薪,1年及以上,大专,9816968,
166074978,python开发工程师,广州·天河区,1.2-2万·15薪,1-3年,本科,199211,
166449715,MySQL基础运维,深圳·坪山区,8千-1.2万,1年及以上,,9792291,
166403886,python开发工程师,,1.3-1.8万·13薪,无需经验,,9665981,
160817268,Python 开发工程师,重庆·渝北区,8千-1.3万,无需经验,大专,9230420,
165850457,python开发工程师,上海·杨浦区,8千-1.2万,无需经验,本科,8900496,
166463575,Trade Operation Specialist-Python,上海·浦东新区,8千-1.6万,无需经验,,2301610,
166450989,数据挖掘,上海,1-1.5万,无需经验,,9803062,
162483812,Java工程师,深圳·宝安区,7千-1万·13薪,1年及以上,大专,9415935,
166321877,Embedded Machine Learning Engineer,北京,2.1-2.3万·13薪,在校生/应届生,本科,9774187,
166122828,Python 软件测试  双休,成都·锦江区,6千-1.2万,无需经验,大专,9592628,
166462157,Java Intern,广州·海珠区,180元/天,在校生/应届生,本科,5395,
164916010,python工程师,苏州·虎丘区,7千-1.1万,无需经验,本科,9552039,
166340523,Python测试工程师,上海·浦东新区,1-1.8万·13薪,1-6年,本科,6650978,
162508910,Java初级工程师(22-24届优先),深圳·福田区,8千-1.2万·13薪,1年及以上,本科,9351564,
165591715,大数据etl工程师实习生,深圳·宝安区,6千-1.1万·13薪,无需经验,大专,7688108,
164083811,python工程师,合肥·包河区,7千-1.1万,无需经验,本科,9552039,
166447956,数据分析师,成都·锦江区,8千-1.2万,1年及以上,大专,9815179,
160589756,初级数据分析师,上海·静安区,8千-1.3万·13薪,无需经验,本科,9255755,
166447840,数据分析师,武汉·洪山区,9千-1.2万,1年及以上,大专,9814792,
160817532,Python 开发工程师,深圳·福田区,8千-1.3万,无需经验,大专,9230420,
163724001,Python,成都,1-1.5万,无需经验,本科,8257554,
163640437,Python工程师,扬州·邗江区,8千-1.5万,1年及以上,本科,5246860,
163890320,python工程师,北京·海淀区,7千-1.1万,无需经验,本科,9552039,
160816923,python开发工程师,沈阳·沈河区,8千-1.3万,无需经验,大专,9230420,
166458024,数据采集实习生,合肥·包河区,3千及以下,在校生/应届生,本科,6122922,
160742556,python 软件开发工程师,苏州·相城区,1-1.5万·13薪,1年及以上,大专,9005358,
164465768,数据库工程师（双休）,杭州·拱墅区,9千-1.2万·13薪,1年及以上,大专,9513039,
160817354,Python 开发工程师,广州·越秀区,8千-1.3万,无需经验,大专,9230420,
166222741,Python数据工程师（爬虫方向）,青岛·高新区,6千-1万,1年及以上,本科,5476020,
164083772,python工程师,深圳·南山区,7千-1.1万,无需经验,本科,9552039,
160778741,python程序员,北京·海淀区,6千-1.2万,1年及以上,大专,6726337,
160817193,Python 开发工程师,苏州·姑苏区,8千-1.3万,无需经验,大专,9230420,
165357035,HTML5,苏州·相城区,9千-1.2万,无需经验,大专,9723146,
163890590,python工程师,广州·天河区,7千-1.1万,无需经验,本科,9552039,
166403883,python开发工程师,,1.3-1.8万·13薪,无需经验,,9665981,
166221674,Python数据工程师（爬虫方向）,青岛·高新区,6千-1万,1年及以上,本科,5476033,
159481485,java开发工程师,南京·浦口区,9千-1.3万,无需经验,大专,8333004,
166046337,python 开发工程师,南京·建邺区,9千-1.4万,1-3年,本科,327912,
165331244,数据分析专员（大厂 双休）,深圳·福田区,8千-1.2万,1年及以上,大专,9696118,
164916032,python工程师,长沙·岳麓区,7千-1.1万,无需经验,本科,9552039,
159481488,java开发工程师,杭州·拱墅区,9千-1.3万,无需经验,大专,8333004,
164013541,python工程师,成都·锦江区,7千-1万,无需经验,本科,8947166,
165940157,python工程师,上海,1.2-1.6万,1年,大专,5136579,
165407420,IT实习生,上海·浦东新区,120元/天,在校生/应届生,本科,6320411,
159481489,java开发工程师,苏州·吴中区,9千-1.3万,无需经验,大专,8333004,
161253616,Python开发工程师,上海·闵行区,1.5-2万·13薪,无需经验,本科,2156965,
165210065,数据分析,重庆,1-1.5万,1年,大专,9320655,
141475066,大数据开发助理/可实习,贵阳·南明区,5-8千,无需经验,大专,7070263,
159481492,java开发工程师,西安·碑林区,9千-1.3万,无需经验,大专,8333004,
163775642,python开发,成都,1-1.5万,无需经验,大专,8217804,
150072958,Python量化研究员,上海·静安区,1-1.5万·14薪,1年,本科,2016161,
163205692,AI运维工程师,深圳·福田区,8千-1.1万,无需经验,本科,9351564,
159481486,java开发工程师,上海·浦东新区,9千-1.3万,无需经验,大专,8333004,
159597465,Java开发工程师,西安·曲江新区,1.2-1.5万,无需经验,本科,9099602,
166336821,IT实习生,嘉兴·嘉善县,120元/天,在校生/应届生,本科,7822233,
165685971,银行数据分析/双休,深圳·福田区,8千-1万,1年及以上,本科,7140273,
159481490,java开发工程师,合肥·蜀山区,9千-1.3万,无需经验,大专,8333004,
159597463,Java开发工程师,广州·天河区,1.2-1.5万,无需经验,本科,9099602,
164418241,Java/Python开发（实习）,广州·天河区,100元/天,在校生/应届生,本科,238030,
165634498,软件开发工程师（C++、C#、Python）,济南,1-2万,无需经验,本科,9749958,
159481487,java开发工程师,武汉·江夏区,9千-1.3万,无需经验,大专,8333004,
164916030,python工程师,郑州·中原区,7千-1.1万,无需经验,本科,9552039,
147284822,Python开发工程师（实习）,广州·番禺区,3-4千,在校生/应届生,大专,7307710,
166475596,软件开发工程师,武汉,5-8千,无需经验,本科,9750250,
162726952,java开发工程师,沈阳,1-1.5万,无需经验,大专,8333004,
163778062,大数据分析岗,长沙,7千-1.4万·13薪,无需经验,大专,9321640,
159597462,Java开发工程师,深圳·南山区,1.2-1.5万,无需经验,本科,9099602,
164916024,python工程师,南京·雨花台区,7千-1.1万,无需经验,本科,9552039,
156948088,python实习,广州·番禺区,3-4千·13薪,无需经验,大专,7307710,
166120537,算法标注师,北京·海淀区,1-1.5万,1年及以上,本科,210498,
159597464,Java开发工程师,北京·朝阳区,1.2-1.5万,无需经验,本科,9099602,
164916004,python工程师,重庆·南岸区,7千-1.1万,无需经验,本科,9552039,
166044836,Java开发工程师,杭州·上城区,6-9千,1年及以上,本科,4517007,
163787940,BI大数据实习生（双休）,武汉·洪山区,6-9千,无需经验,大专,9553329,
156147219,Java开发,福州·鼓楼区,9千-1.3万·15薪,无需经验,本科,8547321,
164083786,python工程师,成都·青羊区,7千-1.1万,无需经验,本科,9552039,
119723583,Java开发工程师,长沙,1.2-2.4万,无需经验,本科,2317552,
150972528,数据分析助理,重庆·沙坪坝区,4-6千,在校生/应届生,大专,8159917,
162526423,python开发,广州,1-1.2万·13薪,无需经验,大专,9428140,
164275663,Java开发工程师,深圳,1.2-1.5万,无需经验,本科,8333012,
160817574,Python 开发工程师,珠海·香洲区,8千-1.3万,无需经验,大专,9230420,
166167535,Python 开发工程师,武汉·洪山区,9千-1.1万·13薪,1-3年,本科,9500942,
162726953,java开发工程师,昆明,1-1.5万,无需经验,大专,8333004,
164275664,Java开发工程师,广州,1.2-1.5万,无需经验,本科,8333012,
160817371,Python 开发工程师,宁波·鄞州区,8千-1.3万,无需经验,大专,9230420,
158174912,Java开发工程师,广州·海珠区,8-9千,1年,大专,7937321,
162526424,python开发,上海·杨浦区,1-1.2万·13薪,无需经验,大专,9428140,
164783558,Java开发工程师,杭州,8千-1.6万,无需经验,本科,9387840,
160817151,Python 开发工程师,杭州·萧山区,8千-1.3万,无需经验,大专,9230420,
164083801,python工程师,杭州·上城区,7千-1.1万,无需经验,本科,9552039,
135938027,Java开发工程师,贵阳·观山湖区,7千-1万,1年及以上,本科,6108750,
165702209,功能检测有人带（提供住宿）,深圳·福田区,5-9千·13薪,无需经验,大专,9351564,
163325543,Python工程师,珠海·香洲区,5-9千,1-3年,本科,7337526,
165033186,AI软件测试实习生（双休）,昆明·盘龙区,5.8-8.5千·13薪,无需经验,大专,9698599,
162526428,python开发,杭州,1-1.2万·13薪,无需经验,大专,9428140,
160479200,数据分析师,上海,7千-1.2万·13薪,1-2年,大专,8317868,
162777379,java开发工程师,东莞,1-1.5万,无需经验,本科,8333012,
165760495,Java开发工程师,北京·海淀区,8千-1.2万,1年及以上,本科,6108750,
165701493,python自动化检测,深圳·福田区,6-9千·13薪,无需经验,大专,9351564,
156772651,Python开发工程师,青岛·李沧区,5-8千,无需经验,大专,7372035,
163315313,java开发工程师,兰州,1-1.2万,无需经验,大专,9254157,
162464107,Python开发（AI方向）,郑州·管城回族区,6-8千·13薪,无需经验,,9407101,
165883384,Python工程師,淮安·清江浦区,7千-1.4万,无需经验,大专,3838015,
164363021,AI数据工程师/助理实习生,成都·金牛区,5千-1万,无需经验,大专,9626456,
161926833,数据维护人员,南宁·西乡塘区,7千-1.3万·13薪,无需经验,本科,7193496,
162526435,python开发,天津,1-1.2万·13薪,无需经验,大专,9428140,
165388351,python（开发实施）,上海·浦东新区,1-1.5万·13薪,1年及以上,本科,4066638,
159478001,Java开发工程师,长沙·岳麓区,1.2-1.5万,无需经验,本科,8333012,
165180949,Python实习生(J22270),上海·浦东新区,200元/天,在校生/应届生,本科,118702,
158379999,数据分析师,郑州·中原区,6-8千,无需经验,大专,9088328,
163315314,java开发工程师,厦门,1-1.2万,无需经验,大专,9254157,
165966656,java,上海·浦东新区,8千-1.5万,无需经验,,7536624,
